source,target,value,source_label,target_label,step_from,step_to
0,6,91,User Namespace Edits,Male,1,2
1,6,28,Wikipedia Namespace Edits,Male,1,2
2,6,6,Talk Namespace Edits,Male,1,2
3,6,76,User Talk Namespace Edits,Male,1,2
4,6,324,Content Namespace Edits,Male,1,2
0,5,100,User Namespace Edits,Unknown,1,2
1,5,249,Wikipedia Namespace Edits,Unknown,1,2
2,5,183,Talk Namespace Edits,Unknown,1,2
3,5,646,User Talk Namespace Edits,Unknown,1,2
4,5,1526,Content Namespace Edits,Unknown,1,2
0,6,3,User Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
3,6,3,User Talk Namespace Edits,Male,1,2
4,6,49,Content Namespace Edits,Male,1,2
0,6,20,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,78,Content Namespace Edits,Male,1,2
0,5,26,User Namespace Edits,Unknown,1,2
1,5,10,Wikipedia Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
3,5,24,User Talk Namespace Edits,Unknown,1,2
4,5,112,Content Namespace Edits,Unknown,1,2
0,6,7,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
2,6,31,Talk Namespace Edits,Male,1,2
3,6,10,User Talk Namespace Edits,Male,1,2
4,6,1660,Content Namespace Edits,Male,1,2
0,5,10,User Namespace Edits,Unknown,1,2
2,5,4,Talk Namespace Edits,Unknown,1,2
3,5,6,User Talk Namespace Edits,Unknown,1,2
4,5,37,Content Namespace Edits,Unknown,1,2
0,6,161,User Namespace Edits,Male,1,2
1,6,10,Wikipedia Namespace Edits,Male,1,2
2,6,9,Talk Namespace Edits,Male,1,2
3,6,184,User Talk Namespace Edits,Male,1,2
4,6,4744,Content Namespace Edits,Male,1,2
0,6,147,User Namespace Edits,Male,1,2
2,6,8,Talk Namespace Edits,Male,1,2
4,6,75,Content Namespace Edits,Male,1,2
0,6,29,User Namespace Edits,Male,1,2
1,6,47,Wikipedia Namespace Edits,Male,1,2
2,6,98,Talk Namespace Edits,Male,1,2
3,6,55,User Talk Namespace Edits,Male,1,2
4,6,1984,Content Namespace Edits,Male,1,2
0,5,36,User Namespace Edits,Unknown,1,2
2,5,34,Talk Namespace Edits,Unknown,1,2
3,5,28,User Talk Namespace Edits,Unknown,1,2
4,5,60,Content Namespace Edits,Unknown,1,2
0,6,382,User Namespace Edits,Male,1,2
1,6,1515,Wikipedia Namespace Edits,Male,1,2
2,6,106,Talk Namespace Edits,Male,1,2
3,6,194,User Talk Namespace Edits,Male,1,2
4,6,3376,Content Namespace Edits,Male,1,2
6,8,1,Male,Edits in Pages related to Women,2,3
0,6,75,User Namespace Edits,Male,1,2
1,6,25,Wikipedia Namespace Edits,Male,1,2
2,6,49,Talk Namespace Edits,Male,1,2
3,6,11,User Talk Namespace Edits,Male,1,2
4,6,450,Content Namespace Edits,Male,1,2
0,6,22,User Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,83,Content Namespace Edits,Male,1,2
0,5,33,User Namespace Edits,Unknown,1,2
4,5,30,Content Namespace Edits,Unknown,1,2
0,5,18,User Namespace Edits,Unknown,1,2
2,5,12,Talk Namespace Edits,Unknown,1,2
3,5,4,User Talk Namespace Edits,Unknown,1,2
4,5,49,Content Namespace Edits,Unknown,1,2
0,6,21,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
3,6,5,User Talk Namespace Edits,Male,1,2
4,6,108,Content Namespace Edits,Male,1,2
6,8,2,Male,Edits in Pages related to Women,2,3
0,6,91,User Namespace Edits,Male,1,2
1,6,138,Wikipedia Namespace Edits,Male,1,2
2,6,63,Talk Namespace Edits,Male,1,2
3,6,2735,User Talk Namespace Edits,Male,1,2
4,6,4142,Content Namespace Edits,Male,1,2
6,8,3,Male,Edits in Pages related to Women,2,3
0,6,1236,User Namespace Edits,Male,1,2
1,6,3849,Wikipedia Namespace Edits,Male,1,2
2,6,340,Talk Namespace Edits,Male,1,2
3,6,1945,User Talk Namespace Edits,Male,1,2
4,6,11325,Content Namespace Edits,Male,1,2
6,8,1,Male,Edits in Pages related to Women,2,3
0,6,11,User Namespace Edits,Male,1,2
1,6,18,Wikipedia Namespace Edits,Male,1,2
2,6,69,Talk Namespace Edits,Male,1,2
3,6,33,User Talk Namespace Edits,Male,1,2
4,6,101,Content Namespace Edits,Male,1,2
0,5,2,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,7,Talk Namespace Edits,Unknown,1,2
3,5,14,User Talk Namespace Edits,Unknown,1,2
4,5,321,Content Namespace Edits,Unknown,1,2
0,6,10,User Namespace Edits,Male,1,2
1,6,5,Wikipedia Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
3,6,11,User Talk Namespace Edits,Male,1,2
4,6,395,Content Namespace Edits,Male,1,2
0,6,2621,User Namespace Edits,Male,1,2
1,6,1128,Wikipedia Namespace Edits,Male,1,2
2,6,433,Talk Namespace Edits,Male,1,2
3,6,1394,User Talk Namespace Edits,Male,1,2
4,6,6152,Content Namespace Edits,Male,1,2
6,8,2,Male,Edits in Pages related to Women,2,3
0,6,26,User Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,83,Content Namespace Edits,Male,1,2
0,5,4,User Namespace Edits,Unknown,1,2
1,5,4,Wikipedia Namespace Edits,Unknown,1,2
3,5,1,User Talk Namespace Edits,Unknown,1,2
4,5,114,Content Namespace Edits,Unknown,1,2
0,5,1,User Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
4,5,219,Content Namespace Edits,Unknown,1,2
0,6,21,User Namespace Edits,Male,1,2
2,6,6,Talk Namespace Edits,Male,1,2
3,6,21,User Talk Namespace Edits,Male,1,2
4,6,11,Content Namespace Edits,Male,1,2
0,5,54,User Namespace Edits,Unknown,1,2
2,5,3,Talk Namespace Edits,Unknown,1,2
3,5,7,User Talk Namespace Edits,Unknown,1,2
4,5,8,Content Namespace Edits,Unknown,1,2
0,6,6,User Namespace Edits,Male,1,2
2,6,5,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,50,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
3,5,3,User Talk Namespace Edits,Unknown,1,2
4,5,136,Content Namespace Edits,Unknown,1,2
0,5,25,User Namespace Edits,Unknown,1,2
1,5,24,Wikipedia Namespace Edits,Unknown,1,2
2,5,3,Talk Namespace Edits,Unknown,1,2
3,5,50,User Talk Namespace Edits,Unknown,1,2
4,5,181,Content Namespace Edits,Unknown,1,2
0,5,13,User Namespace Edits,Unknown,1,2
1,5,12,Wikipedia Namespace Edits,Unknown,1,2
2,5,3,Talk Namespace Edits,Unknown,1,2
3,5,3,User Talk Namespace Edits,Unknown,1,2
4,5,28,Content Namespace Edits,Unknown,1,2
0,6,2,User Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,139,Content Namespace Edits,Male,1,2
0,5,112,User Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
3,5,4,User Talk Namespace Edits,Unknown,1,2
4,5,107,Content Namespace Edits,Unknown,1,2
0,5,109,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
2,5,8,Talk Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,38,Content Namespace Edits,Unknown,1,2
0,6,24,User Namespace Edits,Male,1,2
4,6,56,Content Namespace Edits,Male,1,2
0,5,17,User Namespace Edits,Unknown,1,2
1,5,3,Wikipedia Namespace Edits,Unknown,1,2
3,5,14,User Talk Namespace Edits,Unknown,1,2
4,5,1477,Content Namespace Edits,Unknown,1,2
0,7,5,User Namespace Edits,Female,1,2
3,7,1,User Talk Namespace Edits,Female,1,2
4,7,227,Content Namespace Edits,Female,1,2
0,6,32,User Namespace Edits,Male,1,2
2,6,4,Talk Namespace Edits,Male,1,2
4,6,59,Content Namespace Edits,Male,1,2
0,7,7,User Namespace Edits,Female,1,2
1,7,1,Wikipedia Namespace Edits,Female,1,2
3,7,1,User Talk Namespace Edits,Female,1,2
4,7,78,Content Namespace Edits,Female,1,2
0,6,2,User Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
4,6,97,Content Namespace Edits,Male,1,2
0,6,32,User Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,34,Content Namespace Edits,Male,1,2
0,6,3,User Namespace Edits,Male,1,2
4,6,73,Content Namespace Edits,Male,1,2
0,5,2,User Namespace Edits,Unknown,1,2
1,5,23,Wikipedia Namespace Edits,Unknown,1,2
2,5,6,Talk Namespace Edits,Unknown,1,2
3,5,4,User Talk Namespace Edits,Unknown,1,2
4,5,163,Content Namespace Edits,Unknown,1,2
0,5,143,User Namespace Edits,Unknown,1,2
1,5,7,Wikipedia Namespace Edits,Unknown,1,2
2,5,6,Talk Namespace Edits,Unknown,1,2
3,5,34,User Talk Namespace Edits,Unknown,1,2
4,5,1329,Content Namespace Edits,Unknown,1,2
0,7,10,User Namespace Edits,Female,1,2
1,7,1,Wikipedia Namespace Edits,Female,1,2
2,7,80,Talk Namespace Edits,Female,1,2
3,7,11,User Talk Namespace Edits,Female,1,2
4,7,140,Content Namespace Edits,Female,1,2
0,6,3,User Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
3,6,4,User Talk Namespace Edits,Male,1,2
4,6,58,Content Namespace Edits,Male,1,2
